card_last4;post_date;desc_raw;amount_brl;installment_seq;installment_tot;fx_rate;iof_brl;category;merchant_city;ledger_hash;prev_bill_amount;interest_amount;amount_orig;currency_orig;amount_usd
2025;2025-01-23;MP*OCEANDROP 05/06 111,18 ~g18 /04 FARMACIASAOJOAO;-0.15;5;6;0.00;0.00;AJUSTE;;6bce20986f9099c5b33974946bcdd4dad95d7c42;0.00;0.00;0.00;;0.00
1181;2025-05-08;ADOBE 172,00 @1 6/06 RECARGAPAY*LEONA12/12;11.08;6;6;0.00;0.00;DIVERSOS;;11a8b27d38a72c7dc274b2e3cb45c8b7e84d0bcb;0.00;0.00;0.00;;0.00
9779;2025-05-17;AMAZONMARKETPLACE01/06 54,52 @1 7/06 PICPAYLBLINTEGRA12/12;11.59;1;6;0.00;0.00;DIVERSOS;;61f42ec927312990e4bbacc8701b477eccd221fb;0.00;0.00;0.00;;0.00
9835;2025-05-23;GoogleOne;2.50;0;0;0.00;0.00;DIVERSOS;;fcff425f4ce026e117465afd2de81ef1b2f8eea0;0.00;0.00;0.00;;0.00
9835;2025-05-23;GoogleColab;58.00;0;0;0.00;0.00;DIVERSOS;;3372765fc09c7f6964c223238c3c2a080a4390c4;0.00;0.00;0.00;;0.00
9835;2025-05-28;Vindi*Ceip;1044.00;0;0;0.00;0.00;DIVERSOS;;fae0f626596ec186ea322f7e2cdb64d9c9761aa7;0.00;0.00;0.00;;0.00
9835;2025-05-28;Vindi*Ceip;1044.00;0;0;0.00;0.00;DIVERSOS;;fae0f626596ec186ea322f7e2cdb64d9c9761aa7;0.00;0.00;0.00;;0.00
9835;2025-05-28;Vindi*Ceip;1044.00;0;0;0.00;0.00;DIVERSOS;;fae0f626596ec186ea322f7e2cdb64d9c9761aa7;0.00;0.00;0.00;;0.00
9835;2025-05-28;ZP *ABP;2535.00;0;0;0.00;0.00;DIVERSOS;;3a9e8130d7e3d083f6b2fefb469b60dbdacf203e;0.00;0.00;0.00;;0.00
9835;2025-05-28;ZP *ABP;2535.00;0;0;0.00;0.00;DIVERSOS;;3a9e8130d7e3d083f6b2fefb469b60dbdacf203e;0.00;0.00;0.00;;0.00
9835;2025-05-28;Vindi*Ceip;-1044.00;0;0;0.00;0.00;DIVERSOS;;31804666676370f94561ab4f43d452b7e6963f15;0.00;0.00;0.00;;0.00
9835;2025-05-28;Vindi*Ceip;-1044.00;0;0;0.00;0.00;DIVERSOS;;31804666676370f94561ab4f43d452b7e6963f15;0.00;0.00;0.00;;0.00
9835;2025-05-30;ESTORNOACELERADORDEP;-797.25;0;0;0.00;0.00;DIVERSOS;;b281acabf32a1724022e7ca7286b9a84da2a3ff0;0.00;0.00;0.00;;0.00
9835;2025-06-02;NEWMINDSTART.COM;-536.67;0;0;0.00;0.00;DIVERSOS;;e00538e5fc7eae16c6af9c18f2ecbc5b73c01f1e;0.00;0.00;0.00;;0.00
9835;2025-06-02;NEWMINDSTART.COM;-534.00;0;0;0.00;0.00;DIVERSOS;;3b2f83af8ce6fe0ccaa2b9ad4df9bcbd00128875;0.00;0.00;0.00;;0.00
3549;2025-05-08;SPRED;60.14;0;0;0.00;0.00;DIVERSOS;;36c04eb553ea47666579bb54612d98dd3fcbb307;0.00;0.00;0.00;;0.00
3549;2025-05-08;OPENAI*CHATGPTSUBSCR;120.40;0;0;0.00;0.00;DIVERSOS;;a545fa9442bc7c621ea2215b0faee1d7fdd395c3;0.00;0.00;0.00;;0.00
3549;2025-05-13;PADDLE.NET*SETAPP;59.44;0;0;0.00;0.00;DIVERSOS;;eda27d7d9614990a1f09663b72d6443655d7e3d4;0.00;0.00;0.00;;0.00
3549;2025-05-14;FS*daisydisk;52.54;0;0;0.00;0.00;DIVERSOS;;a5b4b97e3e27500dfcbf4ba1b0a81f770c20ef98;0.00;0.00;0.00;;0.00
3549;2025-05-19;OPENAI*CHATGPTSUBSCR;1194.00;0;0;0.00;0.00;DIVERSOS;;ebe3cd5a188d3849d0dacaa7cbd6096e92a6cf7f;0.00;0.00;0.00;;0.00
3549;2025-05-25;WARPPROSUBSCRIPTION 108,54 Totaldeoutroslançamentos;760.38;0;0;0.00;0.00;DIVERSOS;;5a0a247a21fbd49c02203631e47bf88896a84818;0.00;0.00;0.00;;0.00
3549;2025-10-16;STREETWEARCOMPAN09/10;65.97;9;10;0.00;0.00;DIVERSOS;;a2d2bf85959edb2db87b27ff2faab3853cc4c606;0.00;0.00;0.00;;0.00
3549;2025-10-19;STREETWEARCOMPAN09/10;49.99;9;10;0.00;0.00;DIVERSOS;;72af4ce66a843416dfe00efe4b3d8cd40266560d;0.00;0.00;0.00;;0.00
3549;2025-12-21;297BFPFUN 07/10;137.97;7;10;0.00;0.00;DIVERSOS;;1ba9707cf4a0f135ec3b093a8ffc864af0c44366;0.00;0.00;0.00;;0.00
3549;2025-01-04;FARMACIASAOJOAO06/06;23.62;6;6;0.00;0.00;FARMÁCIA;;f61ecca0b209d517ef6926dfce99be0d707d1576;0.00;0.00;0.00;;0.00
3549;2025-01-05;MERCADOLIVRE*MERCA06/10;67.11;6;10;0.00;0.00;SUPERMERCADO;;baf23ea8472bd8addd294cf21d3814dbbff3288f;0.00;0.00;0.00;;0.00
1181;2025-01-06;DM *TEMU06/06;65.88;6;6;0.00;0.00;DIVERSOS;;9fed93ab866ed4f45ecf49a89df58049836e12a7;0.00;0.00;0.00;;0.00
1181;2025-01-11;FARMACIASAOJOAO06/06;39.51;6;6;0.00;0.00;FARMÁCIA;;504666ceadde5c065760e592a87b519832c2e8f1;0.00;0.00;0.00;;0.00
1181;2025-01-13;FARMACIASAOJOAO06/06;113.67;6;6;0.00;0.00;FARMÁCIA;;5bacad62c3fa6f34e8f5a6004ef6373f523e9508;0.00;0.00;0.00;;0.00
1181;2025-01-20;FARMACIASAOJOAO06/06;90.66;6;6;0.00;0.00;FARMÁCIA;;8c148c3aeaaced76be6be9fa8e5c7747e3de24fa;0.00;0.00;0.00;;0.00
1181;2025-01-22;FARMACIASAOJOAO06/06;38.34;6;6;0.00;0.00;FARMÁCIA;;306c346bd411646806d57f71e33c22c40e171d40;0.00;0.00;0.00;;0.00
1181;2025-01-23;MP*OCEANDROP 06/06;111.18;6;6;0.00;0.00;DIVERSOS;;b4aa378deac68c0e60fb326ac3e14c3ddbd7ea4a;0.00;0.00;0.00;;0.00
1181;2025-01-23;ESSENTIALNUTRITIO06/06;155.35;6;6;0.00;0.00;DIVERSOS;;9fd1239caf202a7701f9fc25c9ad19429518b3cc;0.00;0.00;0.00;;0.00
1181;2025-02-05;STREETWEARCOMPAN05/10;74.99;5;10;0.00;0.00;DIVERSOS;;0d6749a067b2416d5ba99e5802d9a54a28491921;0.00;0.00;0.00;;0.00
1181;2025-02-06;FARMACIASAOJOAO05/06;21.29;5;6;0.00;0.00;FARMÁCIA;;32508d086e3288bc397cacbcf41c420f686a8ac3;0.00;0.00;0.00;;0.00
1181;2025-02-25;FARMACIASAOJOAO05/06;33.12;5;6;0.00;0.00;FARMÁCIA;;6afec1cf84293dbdb57dcfbd6c168b074af09535;0.00;0.00;0.00;;0.00
1181;2025-03-09;FARMACIASAOJOAO04/06;37.19;4;6;0.00;0.00;FARMÁCIA;;f0e2bf5668120b9898b83f2aea96dd215cecff77;0.00;0.00;0.00;;0.00
1181;2025-03-16;FARMACIASAOJOAO04/06;67.07;4;6;0.00;0.00;FARMÁCIA;;eab0451124f3d4096d652f0b1bce9c0b67b00edd;0.00;0.00;0.00;;0.00
1181;2025-03-23;FARMACIASAOJOAO04/06;77.66;4;6;0.00;0.00;FARMÁCIA;;aed10996f2a74d1b8c1197c048f7e97dc40a7a1b;0.00;0.00;0.00;;0.00
1181;2025-03-30;FARMACIASAOJOAO04/06 94,52 Limitedecrédito;29950.00;4;6;0.00;0.00;FARMÁCIA;;7974a7a108b837b88d09f7f8974919e4c316e384;0.00;0.00;0.00;;0.00
1181;2025-05-02;FARMACIASAOJOAO03/06 82,35 Valorjuros;477.06;3;6;0.00;0.00;ENCARGOS;;7b39758d15ddc0a039f8b7f76be30a44f3f1d601;0.00;0.00;0.00;;0.00
1181;2025-05-13;MERCADOLIVRE*BRASI02/10 287,91 Quantidadedeparcelas;24.00;2;10;0.00;0.00;SUPERMERCADO;;5676d4fbc471ec404c55f28fec5145a461cae02c;0.00;0.00;0.00;;0.00
1181;2025-05-15;FARMACIASAOJOAO02/06 70,58 Valordaparcela;41.35;2;6;0.00;0.00;FARMÁCIA;;6d59975fce800a79da43685bfca538d9437a237c;0.00;0.00;0.00;;0.00
1181;2025-05-17;AMAZONMARKETPLACE02/06 54,52 Valortotalapagar;992.40;2;6;0.00;0.00;DIVERSOS;;af2bffe74162e2ce80df478d8633256cc04c1beb;0.00;0.00;0.00;;0.00
1181;2025-06-21;Mercado;-89.00;0;0;0.00;0.00;SUPERMERCADO;;b9653b71cf129f3ca95d72b18d80a7161ef6ecfa;0.00;0.00;0.00;;0.00
1181;2025-06-21;Mercado;-47.00;0;0;0.00;0.00;SUPERMERCADO;;a679916ea21775b47bb69fa3a676751ea93e5010;0.00;0.00;0.00;;0.00
