card_last4;post_date;desc_raw;amount_brl;installment_seq;installment_tot;fx_rate;iof_brl;category;merchant_city;ledger_hash;prev_bill_amount;interest_amount;amount_orig;currency_orig;amount_usd
0000;2025-00-05;1 R$ 1 1 R$;20860,60;0;0;0,00;0,00;DIVERSOS;;034347524de6185df59d98ea4ae5a5eb5bbf2720;0,00;0,00;0,00;;0,00
0000;2025-01-04;FARMACIA SAO JOAO 04/06;23,62;04;06;0,00;0,00;FARMÁCIA;;28754c4e44eb163d840514f7b271b44f54bd0834;0,00;0,00;0,00;;0,00
0000;2025-01-04;FARMACIA SAO JOAO 05/06;23,62;05;06;0,00;0,00;FARMÁCIA;;32720e00ba245fa68c5e1f25f64b7a147e1e9444;0,00;0,00;0,00;;0,00
0000;2025-01-05;MERCADOLIVRE*MERCA04/10;67,11;04;10;0,00;0,00;SUPERMERCADO;;0d938523a8e6a126f008a6034bb1ff059640272b;0,00;0,00;0,00;;0,00
0000;2025-01-05;BOLETO PARCELADO 04/04;258,59;04;04;0,00;0,00;DIVERSOS;;8c11788d60dd568e247e9c19c40271ff18aa36ec;0,00;0,00;0,00;;0,00
0000;2025-01-05;MERCADOLIVRE*MERCA05/10;67,11;05;10;0,00;0,00;SUPERMERCADO;;7cb6fa799067f9bb87d5c8fce6e121f28f649c07;0,00;0,00;0,00;;0,00
0000;2025-01-06;DM *TEMU 04/06;65,88;04;06;0,00;0,00;DIVERSOS;;5b6ca7015dce750a1c46bd3cb88c79a08c003358;0,00;0,00;0,00;;0,00
0000;2025-01-06;DM *TEMU 05/06;65,88;05;06;0,00;0,00;DIVERSOS;;08a137ae358ed0737d73db485a7ac1d1f9712070;0,00;0,00;0,00;;0,00
0000;2025-01-11;FARMACIA SAO JOAO 05/06;39,51;05;06;0,00;0,00;FARMÁCIA;;f973b2bc3e8486f18ba14264a7bab80ada2f2362;0,00;0,00;0,00;;0,00
0000;2025-01-13;FARMACIA SAO JOAO 05/06;113,67;05;06;0,00;0,00;FARMÁCIA;;e82ba66eb6bc11cb9665c913378ed21db3d5a474;0,00;0,00;0,00;;0,00
0000;2025-01-20;FARMACIA SAO JOAO 04/06;90,66;04;06;0,00;0,00;SAÚDE;PASSO FUNDO;ae410a7f464f5da80f0390f8150dc5f5a636f3d5;0,00;0,00;0,00;;0,00
0000;2025-01-20;FARMACIA SAO JOAO 05/06;90,66;05;06;0,00;0,00;FARMÁCIA;;1830a9bf05538b7377c48fa1e15f7a4f749a95d9;0,00;0,00;0,00;;0,00
0000;2025-01-22;PERFECT HEALTH 04/04;120,25;04;04;0,00;0,00;ALIMENTAÇÃO;PASSO FUNDO;1e3972429de3616f55f45dc5ddc45b7206e17405;0,00;0,00;0,00;;0,00
0000;2025-01-22;FARMACIA SAO JOAO 04/06;38,34;04;06;0,00;0,00;SAÚDE;PASSO FUNDO;fb99a659c10ee463a5747f1b3f87566b3da901c3;0,00;0,00;0,00;;0,00
0000;2025-01-22;FARMACIA SAO JOAO 05/06;38,34;05;06;0,00;0,00;FARMÁCIA;;3c7e73fd6289b467fdf89bfdd353326ebf5b3e09;0,00;0,00;0,00;;0,00
0000;2025-01-23;MP *OCEANDROP 04/06;111,18;04;06;0,00;0,00;VESTUÁRIO;MARAU;938255ec6a2ff68e284bf214aaeb902bbab535a8;0,00;0,00;0,00;;0,00
0000;2025-01-23;ESSENTIAL NUTRITIO04/06;155,35;04;06;0,00;0,00;DIVERSOS;;428671612a2ccf1a91d09a9308366b5172b87370;0,00;0,00;0,00;;0,00
0000;2025-01-23;MP *OCEANDROP 05/06;111,18;05;06;0,00;0,00;DIVERSOS;;2a28cb3d77ce0212a675382adc94d13c350d24a6;0,00;0,00;0,00;;0,00
0000;2025-01-23;ESSENTIAL NUTRITIO05/06;155,35;05;06;0,00;0,00;DIVERSOS;;78d72bd32555b51c00f20087656028226ff40ac8;0,00;0,00;0,00;;0,00
0000;2025-02-05;STREET WEAR COMPAN03/10;74,99;03;10;0,00;0,00;VESTUÁRIO;MARAU;60762d6c118ef1308654aa427ed5d7d8aab00591;0,00;0,00;0,00;;0,00
0000;2025-02-05;STREET WEAR COMPAN04/10;74,99;04;10;0,00;0,00;DIVERSOS;;1f65358a1f3742980d7d9917e08d450168059cf2;0,00;0,00;0,00;;0,00
0000;2025-02-06;FARMACIA SAO JOAO 03/06;21,29;03;06;0,00;0,00;SAÚDE;PASSO FUNDO;b05e7e389e3d9f89345b86f03166f6dfd099e06b;0,00;0,00;0,00;;0,00
0000;2025-02-06;FPay*DOM5Neres 03/03;132,34;03;03;0,00;0,00;DIVERSOS;;27c86f980d1f7ad5ce12d4c866f3f7e3480c5f76;0,00;0,00;0,00;;0,00
0000;2025-02-06;FARMACIA SAO JOAO 04/06;21,29;04;06;0,00;0,00;FARMÁCIA;;440551bada7f59c8c5603cab6d36d9e62d0ab278;0,00;0,00;0,00;;0,00
0000;2025-02-08;PANVEL FARMACIAS 03/03;83,88;03;03;0,00;0,00;SAÚDE;PASSO FUNDO;eaa3f00d2447e7ce9acb1c86305399ea14dc362b;0,00;0,00;0,00;;0,00
