card_last4;post_date;desc_raw;amount_brl;installment_seq;installment_tot;fx_rate;iof_brl;category;merchant_city;ledger_hash;prev_bill_amount;interest_amount;amount_orig;currency_orig;amount_usd
0000;2025-01-04;FARMACIA SAO JOAO 05/06;23,62;05;06;0,00;0,00;FARMÁCIA;;32720e00ba245fa68c5e1f25f64b7a147e1e9444;0,00;0,00;0,00;;0,00
0000;2025-01-05;MERCADOLIVRE*MERCA04/10;67,11;04;10;0,00;0,00;SUPERMERCADO;;0d938523a8e6a126f008a6034bb1ff059640272b;0,00;0,00;0,00;;0,00
0000;2025-01-05;BOLETO PARCELADO 04/04 258,59 Limite máximo para saque no Brasil;1000,00;04;04;0,00;0,00;DIVERSOS;;3736fe621f9c25f501fb46d670136363e36b4e9d;0,00;0,00;0,00;;0,00
0000;2025-01-05;MERCADOLIVRE*MERCA05/10;67,11;05;10;0,00;0,00;SUPERMERCADO;;7cb6fa799067f9bb87d5c8fce6e121f28f649c07;0,00;0,00;0,00;;0,00
0000;2025-01-06;DM *TEMU 04/06;65,88;04;06;0,00;0,00;DIVERSOS;;5b6ca7015dce750a1c46bd3cb88c79a08c003358;0,00;0,00;0,00;;0,00
0000;2025-01-06;DM *TEMU 05/06 65,88 Os juros e encargos que você irá pagar são os apresentados;50665,88;05;06;0,00;0,00;ENCARGOS;;54f108dfb91284602f3d35c074dc12961c88a066;0,00;0,00;0,00;;0,00
0000;2025-01-11;FARMACIA SAO JOAO 05/06 39,51 contratação, e caso ultrapassem o limite máximo, a diferença não;0,00;05;06;0,00;0,00;FARMÁCIA;;03d0320960add6ac5ffb0463c8a1706d4142b876;0,00;0,00;0,00;;0,00
0000;2025-01-13;FARMACIA SAO JOAO 05/06 113,67 cobrada ou será devolvida em fatura. Válido por cada operação;506113,67;05;06;0,00;0,00;FARMÁCIA;;366d7d31093c7142584364aa8e8d4cbe377fc9ee;0,00;0,00;0,00;;0,00
0000;2025-01-20;FARMACIA SAO JOAO 05/06;90,66;05;06;0,00;0,00;FARMÁCIA;;1830a9bf05538b7377c48fa1e15f7a4f749a95d9;0,00;0,00;0,00;;0,00
0000;2025-01-22;FARMACIA SAO JOAO 04/06;38,34;04;06;0,00;0,00;FARMÁCIA;;fb99a659c10ee463a5747f1b3f87566b3da901c3;0,00;0,00;0,00;;0,00
0000;2025-01-22;FARMACIA SAO JOAO 05/06;38,34;05;06;0,00;0,00;FARMÁCIA;;3c7e73fd6289b467fdf89bfdd353326ebf5b3e09;0,00;0,00;0,00;;0,00
0000;2025-01-23;MP *OCEANDROP 04/06;111,18;04;06;0,00;0,00;DIVERSOS;;938255ec6a2ff68e284bf214aaeb902bbab535a8;0,00;0,00;0,00;;0,00
0000;2025-01-23;ESSENTIAL NUTRITIO04/06;155,35;04;06;0,00;0,00;DIVERSOS;;428671612a2ccf1a91d09a9308366b5172b87370;0,00;0,00;0,00;;0,00
0000;2025-01-23;MP *OCEANDROP 05/06;111,18;05;06;0,00;0,00;DIVERSOS;;2a28cb3d77ce0212a675382adc94d13c350d24a6;0,00;0,00;0,00;;0,00
0000;2025-01-23;ESSENTIAL NUTRITIO05/06;155,35;05;06;0,00;0,00;DIVERSOS;;78d72bd32555b51c00f20087656028226ff40ac8;0,00;0,00;0,00;;0,00
0000;2025-02-05;STREET WEAR COMPAN03/10;74,99;03;10;0,00;0,00;DIVERSOS;;60762d6c118ef1308654aa427ed5d7d8aab00591;0,00;0,00;0,00;;0,00
0000;2025-02-05;STREET WEAR COMPAN04/10;74,99;04;10;0,00;0,00;DIVERSOS;;1f65358a1f3742980d7d9917e08d450168059cf2;0,00;0,00;0,00;;0,00
0000;2025-02-06;FARMACIA SAO JOAO 03/06;21,29;03;06;0,00;0,00;FARMÁCIA;;b05e7e389e3d9f89345b86f03166f6dfd099e06b;0,00;0,00;0,00;;0,00
0000;2025-02-06;FPay*DOM5Neres 03/03;132,34;03;03;0,00;0,00;DIVERSOS;;27c86f980d1f7ad5ce12d4c866f3f7e3480c5f76;0,00;0,00;0,00;;0,00
0000;2025-02-06;FARMACIA SAO JOAO 04/06;21,29;04;06;0,00;0,00;FARMÁCIA;;440551bada7f59c8c5603cab6d36d9e62d0ab278;0,00;0,00;0,00;;0,00
